"Timestamp","Your Name","1. Gender","2. Age","3. Department ","4. Academic Year","  5. Current Accommodation Type  ","  6. Did you apply for a hall seat?  ","7. Did you get a hall seat?  ","8. Number of people sharing your room  ","9. Satisfaction with your current living condition  ","  10. Distance from campus  ","  11. Daily commute time (one way)  ","  12. Total commuting time per day  ","  13. Mode of transport  ","  14. Daily transport cost  ","15. How often are you late due to commuting? ","  16. Monthly living cost  ","  17. Current CGPA  ","18. Average study hours/day  ","19. Class attendance (%)  ","20. Do you miss classes due to commuting?","21. Do you find it difficult to study after commuting? ","22. Have your grades decreased after your current living arrangement?","  23. Stress level  ","  24. Anxiety level  ","  25. Sleep hours/day","  26. Do you feel isolated?  ","  27. Do you feel academic pressure due to your current living situation?  ","28. Do you have a proper study environment at your residence?","29. Participation in extracurricular activities","30. Internet access quality","31. Financial stress level","  32. Does the expenses affect study?  ","33. How safe do you feel in your current residence?","34. Does safety concern affect your mental wellbeing or study?"
"2026/04/24 12:48:05 pm GMT+6","","Female","23-25","Software engineering ","3rd Year","Rented Mess/Flat","No","No","1","2","3–5 km","15–30 min","30–60 min","Bus","0","Sometimes","3000–5000","3.00–3.49","2–4","85%","No","No","Yes","2","2","7","Maybe","Yes","Yes","2","4","2","No","1","4"
"2026/04/24 1:15:23 pm GMT+6","","Female","23-25","IIT","3rd Year","Rented Mess/Flat","Yes","No","2","4","5 km","1 hour","2 hours","Bus","<50","Often","5000–8000","3.00–3.49","<2","70–85%","Yes","Yes","Yes","3","2","6–7","Maybe","Yes","No","2","2","4","Yes","3","4"
"2026/04/24 1:17:32 pm GMT+6","","Female","23-25","MIS","4th Year","Rented Mess/Flat","No","No","1","2","3–5 km","30–60 min","1–2 hours","Bus","0","Sometimes","3000–5000","3.50–4.00","<2","85%","Yes","Yes","Yes","3","3","6–7","No","Yes","No","2","3","5","Yes","3","4"
"2026/04/24 1:27:18 pm GMT+6","","Female","23-25","IIT","3rd Year","Rented Mess/Flat","No","No","1","1","3–5 km","15–30 min","30–60 min","Bus","<50","Sometimes","3000–5000","3.50–4.00","<2","85%","No","Yes","No","2","2","5–6","Maybe","No","Yes","1","4","3","Yes","1","5"
"2026/04/24 1:32:31 pm GMT+6","","Male","23-25","Software Engineering","3rd Year","University Hall","Yes","Yes","more than 4","4","On campus","on campus","0","Walking","0","Sometimes","5000–8000","3.50–4.00","4–6","70–85%","Yes","Yes","No","3","3","5–6","Yes","Yes","Yes","1","4","4","No","3","3"
"2026/04/24 1:54:21 pm GMT+6","","Female","20-22","BGE","3rd Year","Rented Mess/Flat","Yes","Yes","2","3",">5 km","1 hour","1–2 hours","Bus","<50","Sometimes","5000–8000","3.00–3.49","<2","85%","Yes","Yes","Yes","3","2","5–6","No","Yes","Yes","2","3","3","No","3","4"
"2026/04/24 1:58:40 pm GMT+6","","Female","23-25","IIT","3rd Year","Rented Mess/Flat","Yes","No","1","2",">5 km","30–60 min","2 hours","Bus","50–100","Often","5000–8000","3.50–4.00","<2","85%","Yes","Yes","Yes","2","2","7","Maybe","Yes","Yes","1","3","5","Yes","1","3"
"2026/04/24 2:22:06 pm GMT+6","","Female","20-22","statistics ","1st Year","Rented Mess/Flat","No","No","1","1",">5 km","30–60 min","1–2 hours","Bus","<50","Sometimes","<3000","3.00–3.49","<2","85%","Yes","Yes","No","2","1","6–7","Maybe","No","Yes","2","4","2","","1","1"
"2026/04/24 3:03:09 pm GMT+6","","Female","23-25","BMB","3rd Year","Rented Mess/Flat","Yes","No","2","3","3–5 km",">1 hour",">2hours","Bus","50–100","Sometimes","3000–5000","3.50–4.00","4–6","85%","No","Yes","No","2","3","5–6","No","Yes","No","2","2","5","Yes","3","5"
"2026/04/24 3:09:08 pm GMT+6","","Female","23-25","Biochemistry and Molecular Biology ","3rd Year","Rented Mess/Flat","Yes","No","3","3",">5 km","30–60 min","1–2 hours","Bus","<50","Sometimes","5000–8000","3.50–4.00","4–6","85%","Yes","Yes","Yes","3","3","5–6","Yes","Yes","No","1","2","2","Yes","2","1"
"2026/04/24 4:42:40 pm GMT+6","","Female","20-22","Pharmacy ","3rd Year","Rented Mess/Flat","Yes","No","1","3","3–5 km","30–60 min","1–2 hours","","<50","Sometimes","5000–8000","3.50–4.00","<2","70–85%","Yes","Yes","No","2","2","5–6","No","Yes","No","1","3","4","Yes","3","3"
"2026/04/24 4:47:08 pm GMT+6","","Male","23-25","IIT","2nd Year","Rented Mess/Flat","Yes","No","2","5",">5 km","30–60 min","1–2 hours","Bus","50–100","Sometimes",">8000","3.00–3.49","2–4","50–70%","Yes","Yes","Yes","2","2","6–7","No","Yes","No","3","3","4","Yes","2","4"
"2026/04/24 4:47:09 pm GMT+6","","Male","20-22","Iit","2nd Year","Rented Mess/Flat","No","No","1","2","<1 km","<15 min","<30 min","Walking","0","Sometimes","3000–5000","3.00–3.49","4–6","70–85%","Yes","No","Yes","2","2","6–7","No","Yes","Yes","3","5","3","Yes","3","3"
"2026/04/24 4:47:39 pm GMT+6","","Female","20-22","Software engineering ","2nd Year","Living with Family","No","No","","1","3–5 km","30–60 min","1–2 hours","Bus","<50","Often","5000–8000","3.50–4.00","2–4","70–85%","No","Yes","No","2","2","6–7","No","No","Yes","1","5","1","No","1","1"
"2026/04/24 4:48:30 pm GMT+6","","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","No","No","2","4","3–5 km","on campus","0","Bus","<50","Sometimes","5000–8000","3.00–3.49","2–4","70–85%","Yes","Yes","No","2","2","6–7","Yes","Yes","Yes","2","4","3","Yes","2","2"
"2026/04/24 4:49:09 pm GMT+6","","Male","23-25","Software Engineering ","2nd Year","Rented Mess/Flat","Yes","No","2","5",">5 km","30–60 min","1–2 hours","Bus","0","Sometimes","5000–8000","2.50–2.99","2–4","85-100%","Yes","Yes","Yes","3","3","6–7","Yes","Yes","No","2","3","4","Yes","3","3"
"2026/04/24 4:49:18 pm GMT+6","","Male","20-22","Software Engineerin","2nd Year","Rented Mess/Flat","No","No","1","4",">5 km","15–30 min","30–60 min","Bus","0","Sometimes","5000–8000","3.00–3.49","<2","50–70%","No","Yes","No","1","1","5–6","No","No","Yes","1","2","4","Yes","2","3"
"2026/04/24 4:49:24 pm GMT+6","","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","Yes","No","2","5",">5 km","30–60 min","1–2 hours","Bus","50–100","Often",">8000","3.50–4.00","<2","85-100%","No","Yes","Yes","3","3","5–6","No","Yes","No","1","4","5","Yes","5","4"
"2026/04/24 4:50:39 pm GMT+6","","Male","23-25","SE","2nd Year","Rented Mess/Flat","No","No","single room","5",">5 km",">1 hour",">2hours","Bus","100–200","Often",">8000","2.50–2.99","<2","50–70%","Yes","Yes","Yes","3","3","5–6","Maybe","Yes","Yes","2","3","5","Yes","4","4"
"2026/04/24 4:51:39 pm GMT+6","","Female","23-25","Software Engineering ","2nd Year","Rented Mess/Flat","No","No","2","3",">5 km","30–60 min","1–2 hours","Bus","<50","Often",">8000","3.00–3.49","2–4","50–70%","Yes","Yes","Yes","3","3","5–6","Maybe","Yes","Yes","1","3","3","Yes","2","2"
"2026/04/24 4:54:23 pm GMT+6","","Female","20-22","IIT","2nd Year","Rented Mess/Flat","No","No","2","2",">5 km","15–30 min","30–60 min","Bus","50–100","Sometimes","5000–8000","3.50–4.00","7-8","85-100%","Yes","Yes","Yes","3","3","<5","Maybe","Yes","Yes","1","4","1","No","2","3"
"2026/04/24 4:55:19 pm GMT+6","","Male","20-22","Software Engineering ","2nd Year","University Hall","Yes","Yes","more than 4","3","On campus","on campus","0","Walking","0","Never","3000–5000","3.00–3.49","<2","50–70%","No","Yes","No","3","3","6–7","Yes","No","Yes","1","3","3","No","3","2"
"2026/04/24 4:56:18 pm GMT+6","","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","Yes","No","2","5",">5 km","15–30 min","30–60 min","Bus","0","Sometimes","5000–8000","3.00–3.49","4–6","70–85%","Yes","Yes","No","1","1","6–7","No","No","Yes","1","4","3","Yes","1","5"
"2026/04/24 5:04:01 pm GMT+6","","Male","20-22","THM ","3rd Year","Rented Mess/Flat","No","No","3","5",">5 km",">1 hour","1–2 hours","Bus","50–100","Never",">8000","3.50–4.00","4–6","50–70%","Yes","Yes","Yes","1","2","6–7","","Yes","No","1","1","3","No","2","3"
"2026/04/24 6:07:38 pm GMT+6","","Male","20-22","Pharmacy ","3rd Year","University Hall","Yes","Yes","more than 4","3","On campus","on campus","30–60 min","Bus","<50","Sometimes","5000–8000","3.50–4.00","<2","85-100%","No","Yes","No","2","2","5–6","Maybe","No","Yes","2","3","3","Yes","1","1"
"2026/04/24 6:21:10 pm GMT+6","","Male","20-22","IIT ","3rd Year","Living with Family","No","No","","1",">5 km","30–60 min","1–2 hours","Bus","<50","Never","3000–5000","3.50–4.00","<2","85-100%","No","Yes","No","3","3","5–6","Yes","No","Yes","1","3","2","No","1","3"
"2026/04/24 6:22:53 pm GMT+6","","Male","20-22","IIT","3rd Year","Other","Yes","No","3","3","<1 km","<15 min","<30 min","Walking","0","Sometimes","5000–8000","3.00–3.49","<2","85-100%","No","Yes","Yes","1","1","7-10","No","No","Yes","2","3","3","Yes","3","3"
"2026/04/24 6:32:56 pm GMT+6","","Female","23-25","Statistics ","3rd Year","Rented Mess/Flat","No","No","single room","1","3–5 km","15–30 min","30–60 min","Bus","0","Sometimes","3000–5000","3.50–4.00","<2","85-100%","No","No","No","2","2","6–7","Maybe","No","Yes","2","3","4","No","1","1"
"2026/04/24 6:37:44 pm GMT+6","","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","No","No","2","4",">5 km","30–60 min","1–2 hours","Bus","0","Sometimes","5000–8000","3.00–3.49","2–4","70–85%","Yes","Yes","Yes","2","2","6–7","Maybe","Yes","No","1","2","4","Yes","3","3"
